Kanji,Reading,Meaning,Level
側,かわ,first principle of the Eight Principles of Yong; tiny dash or speck,1
可愛い,かわいい,cute; adorable,1
可愛がる,かわいがる,to be affectionate to; to treat tenderly,1
可哀想,かわいそう,poor; pitiable,1
可愛らしい,かわいらしい,lovely; sweet,1
交わす,かわす,"to exchange (messages, greetings, arguments, etc.); to intersect",1
代わる,かわる,to succeed; to relieve,1
代わる代わる,かわるがわる,alternately; by turns,1
乾,かん,northwest; drying,1
管,かん,pipe; tube,1
幹,かん,trunk; stem,1
冠,かん,order; rank,1
観,かん,look; appearance,1
館,かん,inn; mansion,1
簡易,かんい,simple; simplified,1
感慨,かんがい,deep emotion; strong feelings,1
寒気,かんき,chill; the shivers,1
簡潔,かんけつ,concise; brief,1
還元,かんげん,restoration; return,1
刊行,かんこう,publication; issue,1
慣行,かんこう,customary practice; habit,1
勧告,かんこく,advice; counsel,1
看護,かんご,nursing; (army) nurse,1
漢語,かんご,Japanese word of Chinese origin; Sino-Japanese word,1
換算,かんさん,conversion (e.g. yen to dollars); change,1
監視,かんし,monitoring; watching,1
慣習,かんしゅう,custom; convention,1
観衆,かんしゅう,spectators; onlookers,1
干渉,かんしょう,interference; intervention,1
感触,かんしょく,feel (of something); touch,1
肝心,かんじん,essential; important,1
歓声,かんせい,cheer; shout of joy,1
感染,かんせん,infection; contagion,1
幹線,かんせん,main line; trunk line,1
関税,かんぜい,customs (duties); duty,1
簡素,かんそ,simple; plain,1
観点,かんてん,point of view; viewpoint,1
感度,かんど,"sensitivity (e.g. of a measuring instrument); reception (radio, TV, etc.)",1
幹部,かんぶ,management; (executive) staff,1
勘弁,かんべん,pardon; forgiveness,1
完璧,かんぺき,perfect; complete,1
感無量,かんむりょう,deep emotion; being filled with emotion,1
勧誘,かんゆう,invitation; solicitation,1
関与,かんよ,participation; taking part in,1
慣用,かんよう,customary use; common usage,1
寛容,かんよう,tolerance; open-mindedness,1
観覧,かんらん,viewing,1
官僚,かんりょう,bureaucrat; government official,1
慣例,かんれい,custom; practice,1
還暦,かんれき,kanreki,1
貫禄,かんろく,presence; dignity,1
緩和,かんわ,relief; mitigation,1
蓋,がい,cover; lid,1
街,がい,street; quarter,1
外貨,がいか,foreign currency; foreign money,1
外観,がいかん,outward appearance; exterior appearance,1
外相,がいしょう,Foreign Minister,1
害する,がいする,to injure; to damage,1
概説,がいせつ,overview; outline,1
該当,がいとう,corresponding to; being applicable to,1
街頭,がいとう,(on the) street,1
概念,がいねん,general idea; concept,1
外来,がいらい,foreign; imported,1
概略,がいりゃく,outline; summary,1
